('dólar', 'n') 0.18572040490015004
('esfuerzo', 'n') 0.009848802805143466
('medio', 'n') 0.009848801764263757
('pérdida', 'n') 0.009848800206316483
('parte', 'n') 0.00970171632036284
('recurso', 'n') 0.009567414637418569
('momento', 'n') 0.00953106736843504
('condición', 'n') 0.009330447474475426
('resultado', 'n') 0.009269452995468608
('banca', 'n') 0.009192235082983941
('mercado', 'n') 0.009091227363791947
('liquidación', 'n') 0.008953467871055654
('grado', 'n') 0.00875449155283766
('manejo', 'n') 0.008754481501834544
('venta', 'n') 0.008617704602272864
('situación', 'n') 0.008535633596582826
('año', 'n') 0.008509223148069319
('precio', 'n') 0.00850577730779359
('fecha', 'n') 0.008441842748574072
('alianza', 'n') 0.008441837828962415
('flujo', 'n') 0.008441833412428615
('búsqueda', 'n') 0.008441833042029815
('cierre', 'n') 0.008441832978767716
('pregunta', 'n') 0.008441832366299293
('valor', 'n') 0.008333616774257218
('papel', 'n') 0.008293733242901698
('control', 'n') 0.008058102479068917
('santa', 'n') 0.007879056321319074
('rescate', 'n') 0.007879051813742065
('entrada', 'n') 0.007879049653119575
('desequilibrios', 'n') 0.007879049217089231
('elemento', 'n') 0.007879048787874661
('puerta', 'n') 0.007879048764822203
('señal', 'n') 0.007879048529606233
('misión', 'n') 0.00787904846443679
('democracia', 'n') 0.007879048011111512
('respecto', 'n') 0.007879047907896172
('velocidad', 'n') 0.007879047776574926
('pérez', 'n') 0.007879047699476609
('beneficios', 'n') 0.007879047572632827
('plan', 'n') 0.007879044892910594
('materia', 'n') 0.007879040781818256
('piso', 'n') 0.007879039862040893
('impuesto', 'n') 0.007879039790160034
('crisis', 'n') 0.007707749542602893
('negociación', 'n') 0.007660175388464103
('camino', 'n') 0.007576021608547116
('cosa', 'n') 0.007576003533129199
('competencia', 'n') 0.007575993870795491
('demanda', 'n') 0.007386609501550388
('edición', 'n') 0.007386608990398584
('baja', 'n') 0.007386607902409338
('exportación', 'n') 0.0073866078151037465
('perspectiva', 'n') 0.00738660767604991
('producción', 'n') 0.007386607421526007
('compañero', 'n') 0.007386607287164202
('tarea', 'n') 0.00738660720539872
('sociedad', 'n') 0.007386606001132476
('funcionario', 'n') 0.007386604871035904
('comunicación', 'n') 0.007386603719513668
('opción', 'n') 0.007386602351387205
('margen', 'n') 0.007386592504211642
('dirección', 'n') 0.00738659027481334
('trabajador', 'n') 0.007386578333653713
('leche', 'n') 0.007316208074482306
('municipio', 'n') 0.0071627727843106845
('empresa', 'n') 0.007049684609489769
('fondo', 'n') 0.0070348678816648125
('aplicación', 'n') 0.007034850706158717
('mayoría', 'n') 0.006952084555283523
('base', 'n') 0.006894164939580422
('plana', 'n') 0.00656589031647704
('banco', 'n') 0.006565880526840944
('productiva', 'n') 0.006565879551190837
('problema', 'n') 0.006565879133406625
('leyes', 'n') 0.006565877672563925
('familia', 'n') 0.006565876423737489
('periódico', 'n') 0.00656587633072242
('bmv', 'n') 0.006565875418062084
('drama', 'n') 0.006565875145386509
('acreedor', 'n') 0.006565875081512616
('nueva', 'n') 0.006565875039825222
('rodolfo', 'n') 0.006565874904263046
('ambiente', 'n') 0.00656587485574329
('doctor', 'n') 0.006565874853045751
('solución', 'n') 0.006565874689409373
('vigilancia', 'n') 0.00656587465684888
('prueba', 'n') 0.006565874537223131
('región', 'n') 0.006565874406464518
('definición', 'n') 0.006565874371119744
('artículo', 'n') 0.006565874239743792
('víctor', 'n') 0.006565874168312101
('método', 'n') 0.006565874054486329
('característica', 'n') 0.00656587397020853
('compuertas', 'n') 0.00656587393017312
('láctea', 'n') 0.006565873891263093
('crítica', 'n') 0.006565873866073628
('chirinos', 'n') 0.006565873853826437
('funcionando', 'n') 0.006565873849450754
('mauricio', 'n') 0.006565873840427095
('evidencia', 'n') 0.006565873801975806
('arco', 'n') 0.006565873797079343
('desastre', 'n') 0.006565873790019035
('jornada', 'n') 0.0065658737650555726
('finanzas', 'n') 0.0065658737585906615
('meta', 'n') 0.006565873758558131
('declaración', 'n') 0.0065658736830355655
('vocero', 'n') 0.006565873663291687
('construcción', 'n') 0.006565873640341505
('obrero', 'n') 0.006565873566449947
('éxodo', 'n') 0.006565873539278365
('cancún', 'n') 0.006565873539278015
('representante', 'n') 0.006565873537713296
('desgracia', 'n') 0.006565873537508523
('oxígeno', 'n') 0.006565873537508523
('retraso', 'n') 0.006565873537508523
('presario', 'n') 0.006565873506080142
('vacación', 'n') 0.006565873386242392
('expansión', 'n') 0.006565873361126552
('borde', 'n') 0.006565873313939454
('alemán', 'n') 0.006565873292058339
('factor', 'n') 0.006565873284998032
('funcionamiento', 'n') 0.006565873253569639
('actuación', 'n') 0.0065658732261972665
('gerente', 'n') 0.00656587322163407
('territorio', 'n') 0.00656587317264154
('orientación', 'n') 0.006565873158270656
('sueldo', 'n') 0.0065658731572102655
('actitud', 'n') 0.006565873153447221
('hoja', 'n') 0.006565873134253456
('complejo', 'n') 0.006565873133731895
('consulta', 'n') 0.006565873131707424
('urgencia', 'n') 0.006565873131707424
('vergüenza', 'n') 0.006565873131707424
('arrendadora', 'n') 0.006565873096295244
('límite', 'n') 0.006565873096295244
('muñoz', 'n') 0.006565873096295244
('fuente', 'n') 0.006565873034257361
('tijuana', 'n') 0.006565873034257361
('parmistas', 'n') 0.00656587300752407
('senado', 'n') 0.0065658729201310525
('anuncio', 'n') 0.006565872920131052
('félix', 'n') 0.006565872920131052
('moda', 'n') 0.006565872920131052
('riqueza', 'n') 0.006565872920131052
('sergio', 'n') 0.006565872920131052
('asesino', 'n') 0.006565872905760168
('china', 'n') 0.006565872905760168
('comunidad', 'n') 0.006565872905760168
('guillermo', 'n') 0.006565872905760168
('onu', 'n') 0.006565872905760168
('senador', 'n') 0.006565872905760168
('ofrecimiento', 'n') 0.006565872904699789
('europa', 'n') 0.00656587288122142
('suerte', 'n') 0.00656587288122142
('partido', 'n') 0.006565872861213511
('esperanza', 'n') 0.006565872788186807
('escasez', 'n') 0.006565872781746889
('utilización', 'n') 0.006565872781746889
('continuación', 'n') 0.006565872667620584
('objeto', 'n') 0.006565872653249701
('reconocimiento', 'n') 0.006565872653249701
('socioeconómicos', 'n') 0.006565872653249701
('vicepresidente', 'n') 0.006565872653249701
('vicio', 'n') 0.006565872653249701
('juez', 'n') 0.0065658726532497
('mano', 'n') 0.006565869980292009
('acción', 'n') 0.006565868042145789
('cooperación', 'n') 0.006565867731542382
('acceso', 'n') 0.006565867323972336
('oscar', 'n') 0.0065658672885601874
('capital', 'n') 0.006565844768491275
('semana', 'n') 0.006331391385564339
('grupo', 'n') 0.006331346722890845
('embargo', 'n') 0.006303237127196078
('caso', 'n') 0.0061738796486474415
('decisión', 'n') 0.006155512528396493
('periodo', 'n') 0.006155510075008188
('ingreso', 'n') 0.006155505746965511
('nacional', 'n') 0.006155505262199701
('méxico', 'n') 0.006096851419995859
('empresario', 'n') 0.0060608033476360346
('país', 'n') 0.0059330215557669205
('policía', 'n') 0.005909292332552315
('carretera', 'n') 0.005909288325727739
('operación', 'n') 0.005909287367101408
('duda', 'n') 0.005909286882371866
('idea', 'n') 0.0059092867398903804
('industria', 'n') 0.00590928669399121
('uso', 'n') 0.0059092866728315254
('forma', 'n') 0.005909283558423016
('documento', 'n') 0.005909280984282901
('planta', 'n') 0.005909276681334482
('secretario', 'n') 0.005793419692635176
('producto', 'n') 0.005793414436111349
('fin', 'n') 0.005745141974091279
('california', 'n') 0.005627894802739565
('mesa', 'n') 0.0056278947342653825
('capitalino', 'n') 0.005627893365441788
('mario', 'n') 0.005627893258318393
('constitución', 'n') 0.005627892806627882
('jesucristo', 'n') 0.005627892459691623
('ajuste', 'n') 0.005627892094550521
('contrario', 'n') 0.0056278920830490796
('principio', 'n') 0.005627891975739301
('instalación', 'n') 0.005627891686684635
('fuerza', 'n') 0.0056278916464863925
('década', 'n') 0.005627891283796243
('respuesta', 'n') 0.005627890949503715
('cantidad', 'n') 0.005627890592908254
('institución', 'n') 0.005471563364917026
('productor', 'n') 0.005372079588517693
('vía', 'n') 0.005372079172174136
('importación', 'n') 0.005372078629283976
('opinión', 'n') 0.00537207711149231
('noticia', 'n') 0.005372073498142047
('ahorro', 'n') 0.00537206398987416
('propiedad', 'n') 0.0053720620797859
('análisis', 'n') 0.005252700579994644
('internet', 'n') 0.0052259112780067285
('seguridad', 'n') 0.005183587796237283
('crédito', 'n') 0.005183584034313741
('sistema', 'n') 0.005138500183633993
('rumbo', 'n') 0.004924431735574541
('compra', 'n') 0.004924416876006115
('reforma', 'n') 0.004924413084492407
('inversión', 'n') 0.004924408616775842
('java', 'n') 0.004924408002840874
('denuncia', 'n') 0.004924407933978773
('procesamiento', 'n') 0.004924407589057883
('asamblea', 'n') 0.004924407073054343
('lara', 'n') 0.004924406762529869
('ejemplo', 'n') 0.004924406405866811
('mensaje', 'n') 0.004924406389152064
('generación', 'n') 0.004924406359039881
('congreso', 'n') 0.004924406286368853
('niño', 'n') 0.004924406213579999
('tortilla', 'n') 0.004924406176369269
('fuga', 'n') 0.004924406107247254
('turismo', 'n') 0.0049244060049995885
('independientes', 'n') 0.004924405917863674
('lista', 'n') 0.004924405815615655
('aniversario', 'n') 0.004924405795041483
('causa', 'n') 0.0049244056906383536
('billete', 'n') 0.00492440567717923
('ejército', 'n') 0.004924405576470881
('roma', 'n') 0.004924405538054179
('respeto', 'n') 0.00492440551454582
('protección', 'n') 0.004924405487796387
('procedimiento', 'n') 0.004924405479654979
('aburto', 'n') 0.004924405416928602
('superficie', 'n') 0.0049244053903698135
('moneda', 'n') 0.004924405364220207
('millonario', 'n') 0.0049244053497165185
('distribución', 'n') 0.004924405349716518
('pasión', 'n') 0.00492440534780937
('canal', 'n') 0.004924405347809369
('escenario', 'n') 0.004924405314532561
('víctima', 'n') 0.0049244052956538345
('micro', 'n') 0.004924405258246654
('hecho', 'n') 0.0049244052384612635
('obra', 'n') 0.0049244051603336975
('bonos', 'n') 0.004924405159288505
('patrulla', 'n') 0.004924405154458566
('representación', 'n') 0.0049244051344086515
('multimedia', 'n') 0.004924405129559968
('tesis', 'n') 0.004924405109030748
('material', 'n') 0.0049244049690437535
('delincuente', 'n') 0.004924404965075752
('garantía', 'n') 0.004924404965075752
('pretexto', 'n') 0.004924404919647949
('educación', 'n') 0.004924404879481018
('cómputo', 'n') 0.004924404879481017
('comentario', 'n') 0.004924404848780499
('estricto', 'n') 0.004924404848780499
('presupuesto', 'n') 0.004924404822221364
('naturaleza', 'n') 0.004924404775692951
('combate', 'n') 0.004924404690098219
('esquina', 'n') 0.004924404679320057
('lenguaje', 'n') 0.004924404679320057
('río', 'n') 0.004924404679320057
('conocimiento', 'n') 0.004924404659397711
('puente', 'n') 0.004924404632838578
('viaje', 'n') 0.004924404591140105
('reacción', 'n') 0.004924404591140104
('daño', 'n') 0.004924404500715437
('palabra', 'n') 0.004924404500715437
('intención', 'n') 0.004924404489937275
('padre', 'n') 0.004924404489937275
('hambre', 'n') 0.004924403696241646
('zedillo', 'n') 0.00492440260687417
('población', 'n') 0.004924401544769064
('maría', 'n') 0.004924400713061629
('aumento', 'n') 0.004924400512105333
('ciudadano', 'n') 0.004924400436996676
('tipo', 'n') 0.004924399637465675
('razón', 'n') 0.004924388914136335
('política', 'n') 0.004924388902782206
('predio', 'n') 0.004924383800766806
('proyecto', 'n') 0.004727427304266283
('director', 'n') 0.004689915704309239
('página', 'n') 0.0045456092259246374
('actividad', 'n') 0.004545605831118941
('hombre', 'n') 0.004545605393389003
('periodista', 'n') 0.00454560338184006
('autoridad', 'n') 0.004545596062630226
('gobierno', 'n') 0.004509041626453382
('día', 'n') 0.004447888066393472
('vehículo', 'n') 0.004377250334861896
('informática', 'n') 0.0043772502770777315
('moral', 'n') 0.004377250248510063
('campesina', 'n') 0.004377249954740152
('nación', 'n') 0.004377249384527491
('objetivo', 'n') 0.004377249080021947
('aeropuerto', 'n') 0.0042209224116574115
('falta', 'n') 0.004220921413379749
('gente', 'n') 0.004220920792472955
('nombre', 'n') 0.004220920441271762
('poder', 'n') 0.004220908979877857
('información', 'n') 0.004178276761189292
('tecnología', 'n') 0.004103677980388363
('tiempo', 'n') 0.004055399392110521
('primero', 'n') 0.003939532595336509
('suero', 'n') 0.003939529189031447
('vida', 'n') 0.003939528664529818
('par', 'n') 0.003939526289269951
('consecuencia', 'n') 0.003939525863110527
('punto', 'n') 0.0039395257669056685
('pasivos', 'n') 0.003939525751581166
('procuraduría', 'n') 0.003939525713034466
('reestructuración', 'n') 0.003939525637689358
('chiapaneco', 'n') 0.003939525183048272
('mujer', 'n') 0.003939525037303887
('reducción', 'n') 0.003939525036467363
('carlos', 'n') 0.0039395249767317
('época', 'n') 0.0039395249425576056
('voto', 'n') 0.0039395245581665015
('representantes', 'n') 0.003939524541743163
('seguimiento', 'n') 0.0039395244850488126
('solicitud', 'n') 0.003939524442882263
('requisito', 'n') 0.003939524425640369
('carta', 'n') 0.003939524390236944
('radio', 'n') 0.003939524349480438
('alza', 'n') 0.003939524275072545
('auxilio', 'n') 0.003939524197974571
('importancia', 'n') 0.003939524183564447
('hambruna', 'n') 0.003939524182036729
('fomento', 'n') 0.00393952416078942
('cuenta', 'n') 0.003939524139869857
('alvarez', 'n') 0.003939524122505003
('rico', 'n') 0.003939524046468365
('marco', 'n') 0.003939524032058254
('panista', 'n') 0.003939524032058254
('apertura', 'n') 0.003939524031745214
('sequía', 'n') 0.003939524031745214
('italia', 'n') 0.003939523975235003
('libertad', 'n') 0.003939523972060491
('marcha', 'n') 0.003939523972060491
('ruta', 'n') 0.003939523972060491
('pie', 'n') 0.003939523970998819
('tratado', 'n') 0.003939523894962172
('irregularidad', 'n') 0.003939523857777036
('enfrentamiento', 'n') 0.003939523824418257
('ricardo', 'n') 0.0039395237520785205
('amigo', 'n') 0.00393952374345599
('avance', 'n') 0.00393952374345599
('roberto', 'n') 0.003939523727518169
('trámite', 'n') 0.003939523600572351
('aspecto', 'n') 0.00393952359194982
('violencia', 'n') 0.003939523228194255
('persona', 'n') 0.003843441080583431
('pueblo', 'n') 0.0037519308833724916
('tierra', 'n') 0.0036933093927944247
('proceso', 'n') 0.0036933050265607077
('mexicana', 'n') 0.003581388234244469
('movimiento', 'n') 0.0035813878815604784
('televisión', 'n') 0.003581387668823653
('desarrollo', 'n') 0.0035813865887380815
('propuesta', 'n') 0.0035813865855208555
('gonzález', 'n') 0.0035813861098931495
('equipo', 'n') 0.003581385519233687
('calidad', 'n') 0.003581385261730615
('financiero', 'n') 0.003527940514721814
('manera', 'n') 0.003425676791962835
('nota', 'n') 0.0033862332620324892
('manzana', 'n') 0.0032829447173182338
('presidente', 'n') 0.0032829429396132653
('computadora', 'n') 0.0032829406904410054
('economista', 'n') 0.0032829402558599468
('apoyo', 'n') 0.0032829393918577163
('madero', 'n') 0.003282938441971293
('herramienta', 'n') 0.003282938228490484
('instancia', 'n') 0.003282937636824451
('destino', 'n') 0.0032829375769055603
('eduardo', 'n') 0.0032829374009141514
('pgr', 'n') 0.0032829374000291085
('bebida', 'n') 0.0032829372175958173
('carga', 'n') 0.0032829369650858677
('ley', 'n') 0.0032829368656088565
('vista', 'n') 0.003282936838830734
('cuerpo', 'n') 0.003282936643383649
('cargo', 'n') 0.003282936626784682
('puestos', 'n') 0.0032829365791350513
('prd', 'n') 0.003282936579135051
('lucha', 'n') 0.003282936503762035
('derecho', 'n') 0.003282936013202342
('financiera', 'n') 0.0031103625202687467
('justicia', 'n') 0.00311015941991231
('república', 'n') 0.0031101537310464717
('servicio', 'n') 0.003077758957525758
('saldo', 'n') 0.0030304158373931937
('lector', 'n') 0.003030405197976962
('pobreza', 'n') 0.003030404596253602
('número', 'n') 0.0030303887876205727
('investigación', 'n') 0.0029546400395157775
('gobernación', 'n') 0.0028139474851321946
('módulo', 'n') 0.0028139474785199227
('político', 'n') 0.002813946861407601
('tema', 'n') 0.0028139466616393556
('dirigencia', 'n') 0.0028139461798974566
('pnud', 'n') 0.002813946004757024
('oferta', 'n') 0.0028139459634601454
('salida', 'n') 0.0028139459107660372
('siglo', 'n') 0.002813945884807511
('fernández', 'n') 0.0028139458556958046
('bien', 'n') 0.0028139458059047314
('pesar', 'n') 0.0028139457765888804
('juicio', 'n') 0.0028139455044791863
('hijo', 'n') 0.0028139454228212997
('vez', 'n') 0.002716917747633475
('señor', 'n') 0.002686044223858366
('distrito', 'n') 0.002626356677019202
('centro', 'n') 0.0026263521138327793
('administración', 'n') 0.0026263517507822067
('capacidad', 'n') 0.0026263503282417523
('secretaría', 'n') 0.002462206129985877
('elección', 'n') 0.0024622054848751915
('unidos', 'n') 0.0024622043327072736
('antonio', 'n') 0.0024622039494084516
('vecino', 'n') 0.0024622034656679326
('agencia', 'n') 0.0024622032784808877
('calle', 'n') 0.002462203276285297
('muerte', 'n') 0.0024622031332034817
('responsables', 'n') 0.002462203086903041
('voluntad', 'n') 0.0024622030024985114
('verdad', 'n') 0.0024622029553302933
('tarjeta', 'n') 0.0024622027898756373
('procurador', 'n') 0.002462202769549124
('hermano', 'n') 0.002462202600493076
('serie', 'n') 0.0024622025647797066
('película', 'n') 0.0024622025290424172
('espacio', 'n') 0.0024622024849525683
('necesidad', 'n') 0.00246220243435115
('organización', 'n') 0.002387598147027945
('líder', 'n') 0.0023173678907804337
('francisco', 'n') 0.002188627227205439
('asesinato', 'n') 0.0021886272091345433
('red', 'n') 0.002188627092049279
('periodismo', 'n') 0.0021886264489995064
('tonelada', 'n') 0.0021886256404594425
('flor', 'n') 0.0021886254802984044
('junto', 'n') 0.002188624597262227
('zona', 'n') 0.0021886245130922346
('asunto', 'n') 0.002188624431068888
('comisión', 'n') 0.0021886196773722995
('ramo', 'n') 0.001969763197543526
('subsidio', 'n') 0.0019697630765702326
('facultad', 'n') 0.0019697623305569255
('crimen', 'n') 0.0019697622708710278
('trabajo', 'n') 0.0019062229091255038
('asociación', 'n') 0.0017906946951750382
('gobernador', 'n') 0.0017906930584215587
('compañía', 'n') 0.001790692854061599
('dirigente', 'n') 0.0017906875665348679
('foro', 'n') 0.0017128579971232316
('cabo', 'n') 0.0016414710602908333
('empleo', 'n') 0.001641469967376846
('diputado', 'n') 0.0016414697450796059
('estudio', 'n') 0.0016414693573395746
('diálogo', 'n') 0.0016414682601741126
('auditoría', 'n') 0.0015152036479701462
('conflicto', 'n') 0.0015152017894192907
('reunión', 'n') 0.0015152017546320139
('realidad', 'n') 0.0014069733009198088
('colosio', 'n') 0.0013131780604410956
('consejo', 'n') 0.001231102774593569
('luis', 'n') 0.0011586871995249025
('colonia', 'n') 0.0010943164594624363
('sindicato', 'n') 0.001036717408316662
('hora', 'n') 0.0009848817465305513
('ciudad', 'n') 0.0007879072758348732
('programa', 'n') 0.0005968984035513087
('abandonando', 'n') 0.0
('abarrotado', 'n') 0.0
('abasto', 'n') 0.0
('abbasso', 'n') 0.0
('abitia', 'n') 0.0
('abono', 'n') 0.0
('abrego', 'n') 0.0
('absuelto', 'n') 0.0
('abuso', 'n') 0.0
('acapulco', 'n') 0.0
('acarreo', 'n') 0.0
('acaso', 'n') 0.0
('accidente', 'n') 0.0
('accionista', 'n') 0.0
('acelera', 'n') 0.0
('acelerado', 'n') 0.0
('acercaba', 'n') 0.0
('acero', 'n') 0.0
('acertada', 'n') 0.0
('acompaña', 'n') 0.0
('acompañamiento', 'n') 0.0
('acontecimiento', 'n') 0.0
('acopio', 'n') 0.0
('acoplamiento', 'n') 0.0
('activa', 'n') 0.0
('activo', 'n') 0.0
('acto', 'n') 0.0
('actualizados', 'n') 0.0
('acumulación', 'n') 0.0
('adeudos', 'n') 0.0
('adición', 'n') 0.0
('adjudicados', 'n') 0.0
('adjunta', 'n') 0.0
('adjunto', 'n') 0.0
('administrativo', 'n') 0.0
('admirarla', 'n') 0.0
('adornado', 'n') 0.0
('adquisición', 'n') 0.0
('adujo', 'n') 0.0
('adulto', 'n') 0.0
('advenedizo', 'n') 0.0
('advenimiento', 'n') 0.0
('advertencia', 'n') 0.0
('advertiría', 'n') 0.0
('aerolíneas', 'n') 0.0
('aeronave', 'n') 0.0
('aeroportuarias', 'n') 0.0
('afectados', 'n') 0.0
('afiliados', 'n') 0.0
('afirma', 'n') 0.0
('aforismo', 'n') 0.0
('afortunados', 'n') 0.0
('africa', 'n') 0.0
('afuera', 'n') 0.0
('agenda', 'n') 0.0
('agente', 'n') 0.0
('agilidad', 'n') 0.0
('agonía', 'n') 0.0
('agradezco', 'n') 0.0
('agradezgo', 'n') 0.0
('agrarias', 'n') 0.0
('agrario', 'n') 0.0
('agrarios', 'n') 0.0
('agrarismo', 'n') 0.0
('agraristas', 'n') 0.0
('agregado', 'n') 0.0
('agremiados', 'n') 0.0
('agro', 'n') 0.0
('agrupación', 'n') 0.0
('agrupadas', 'n') 0.0
('agua', 'n') 0.0
('aguda', 'n') 0.0
('agudiza', 'n') 0.0
('aguinaco', 'n') 0.0
('ahogada', 'n') 0.0
('ahorita', 'n') 0.0
('aire', 'n') 0.0
('ala', 'n') 0.0
('alargamiento', 'n') 0.0
('albino', 'n') 0.0
('alcalde', 'n') 0.0
('alcance', 'n') 0.0
('alcanza', 'n') 0.0
('alcayaga', 'n') 0.0
('alcohólica', 'n') 0.0
('alejados', 'n') 0.0
('alejandro', 'n') 0.0
('alejémonos', 'n') 0.0
('alemanista', 'n') 0.0
('alerta', 'n') 0.0
('alertado', 'n') 0.0
('alfa', 'n') 0.0
('alfaro', 'n') 0.0
('alfonso', 'n') 0.0
('alfredo', 'n') 0.0
('alimenticios', 'n') 0.0
('alimento', 'n') 0.0
('allegada', 'n') 0.0
('allora', 'n') 0.0
('almacenada', 'n') 0.0
('almoloya', 'n') 0.0
('alonso', 'n') 0.0
('alpha', 'n') 0.0
('altamirano', 'n') 0.0
('alterno', 'n') 0.0
('alto', 'n') 0.0
('altura', 'n') 0.0
('alumno', 'n') 0.0
('alvarado', 'n') 0.0
('alvaro', 'n') 0.0
('alzamiento', 'n') 0.0
('amarra', 'n') 0.0
('amañadas', 'n') 0.0
('amelia', 'n') 0.0
('amenaza', 'n') 0.0
('america', 'n') 0.0
('amiga', 'n') 0.0
('amor', 'n') 0.0
('amparo', 'n') 0.0
('américa', 'n') 0.0
('anarquía', 'n') 0.0
('anciano', 'n') 0.0
('andrómeda', 'n') 0.0
('anexo', 'n') 0.0
('angel', 'n') 0.0
('angloamericanos', 'n') 0.0
('angustia', 'n') 0.0
('angustioso', 'n') 0.0
('anomalía', 'n') 0.0
('ansioso', 'n') 0.0
('antagónicas', 'n') 0.0
('antaño', 'n') 0.0
('antecesor', 'n') 0.0
('antelmo', 'n') 0.0
('anteproyecto', 'n') 0.0
('anticipa', 'n') 0.0
('antigüita', 'n') 0.0
('antuna', 'n') 0.0
('apapacho', 'n') 0.0
('aparato', 'n') 0.0
('aparición', 'n') 0.0
('apartadas', 'n') 0.0
('apartado', 'n') 0.0
('apegadas', 'n') 0.0
('apego', 'n') 0.0
('apelación', 'n') 0.0
('aplicando', 'n') 0.0
('aportados', 'n') 0.0
('apoteótica', 'n') 0.0
('apoyadas', 'n') 0.0
('apreciación', 'n') 0.0
('apresta', 'n') 0.0
('aprobación', 'n') 0.0
('aprovechada', 'n') 0.0
('aprovechamiento', 'n') 0.0
('aprovechemos', 'n') 0.0
('aproximados', 'n') 0.0
('aragón', 'n') 0.0
('arancel', 'n') 0.0
('arbitraria', 'n') 0.0
('archivo', 'n') 0.0
('arena', 'n') 0.0
('argumento', 'n') 0.0
('arma', 'n') 0.0
('armando', 'n') 0.0
('armónico', 'n') 0.0
('arquitecto', 'n') 0.0
('arquitectura', 'n') 0.0
('arrancando', 'n') 0.0
('arrastra', 'n') 0.0
('arreglo', 'n') 0.0
('arreola', 'n') 0.0
('arresto', 'n') 0.0
('arroba', 'n') 0.0
('arroyo', 'n') 0.0
('arte', 'n') 0.0
('artista', 'n') 0.0
('arturo', 'n') 0.0
('arzobispo', 'n') 0.0
('asalariado', 'n') 0.0
('asaltante', 'n') 0.0
('asambleístas', 'n') 0.0
('asegura', 'n') 0.0
('asegurados', 'n') 0.0
('asesor', 'n') 0.0
('asesoría', 'n') 0.0
('asigna', 'n') 0.0
('asimila', 'n') 0.0
('aspiración', 'n') 0.0
('astronauta', 'n') 0.0
('astroso', 'n') 0.0
('astucia', 'n') 0.0
('ataba', 'n') 0.0
('atenderlo', 'n') 0.0
('atinado', 'n') 0.0
('atraso', 'n') 0.0
('atravesarlo', 'n') 0.0
('atribución', 'n') 0.0
('audio', 'n') 0.0
('auditorio', 'n') 0.0
('augusta', 'n') 0.0
('ausentismo', 'n') 0.0
('auspiciado', 'n') 0.0
('australia', 'n') 0.0
('auto', 'n') 0.0
('autoconsumo', 'n') 0.0
('automático', 'n') 0.0
('autonomía', 'n') 0.0
('autor', 'n') 0.0
('autoritarismo', 'n') 0.0
('auténtico', 'n') 0.0
('autónoma', 'n') 0.0
('auxilia', 'n') 0.0
('avalúos', 'n') 0.0
('avenida', 'n') 0.0
('aversión', 'n') 0.0
('avila', 'n') 0.0
('avión', 'n') 0.0
('ayala', 'n') 0.0
('ayuda', 'n') 0.0
('azcapotzalco', 'n') 0.0
('azteca', 'n') 0.0
('azúcar', 'n') 0.0
('aérea', 'n') 0.0
('baile', 'n') 0.0
('balance', 'n') 0.0
('baldenegro', 'n') 0.0
('balneario', 'n') 0.0
('bancaria', 'n') 0.0
('bancario', 'n') 0.0
('bancarios', 'n') 0.0
('bancarrota', 'n') 0.0
('bandera', 'n') 0.0
('bandido', 'n') 0.0
('bando', 'n') 0.0
('banobras', 'n') 0.0
('banqueta', 'n') 0.0
('baranda', 'n') 0.0
('barca', 'n') 0.0
('barco', 'n') 0.0
('barra', 'n') 0.0
('barreda', 'n') 0.0
('bartola', 'n') 0.0
('basta', 'n') 0.0
('basura', 'n') 0.0
('baño', 'n') 0.0
('beca', 'n') 0.0
('bell', 'n') 0.0
('bendición', 'n') 0.0
('beneficiando', 'n') 0.0
('beneficiario', 'n') 0.0
('beneficio', 'n') 0.0
('benito', 'n') 0.0
('benévolo', 'n') 0.0
('bezanilla', 'n') 0.0
('bicicleta', 'n') 0.0
('bienintencionado', 'n') 0.0
('bienvenidos', 'n') 0.0
('biofísicos', 'n') 0.0
('bla', 'n') 0.0
('blaha', 'n') 0.0
('blanco', 'n') 0.0
('bloquea', 'n') 0.0
('bobo', 'n') 0.0
('boca', 'n') 0.0
('boeing', 'n') 0.0
('bolita', 'n') 0.0
('bombardea', 'n') 0.0
('bonhomía', 'n') 0.0
('bordo', 'n') 0.0
('borja', 'n') 0.0
('brecha', 'n') 0.0
('bretaña', 'n') 0.0
('brote', 'n') 0.0
('brusca', 'n') 0.0
('burladas', 'n') 0.0
('butírica', 'n') 0.0
('búfalo', 'n') 0.0
('búho', 'n') 0.0
('caballero', 'n') 0.0
('caballeroso', 'n') 0.0
('cabida', 'n') 0.0
('cabildo', 'n') 0.0
('cabina', 'n') 0.0
('cabrera', 'n') 0.0
('cadena', 'n') 0.0
('cairo', 'n') 0.0
('cajero', 'n') 0.0
('calabozo', 'n') 0.0
('caldaria', 'n') 0.0
('caldera', 'n') 0.0
('calificando', 'n') 0.0
('californianas', 'n') 0.0
('callista', 'n') 0.0
('calumnia', 'n') 0.0
('cama', 'n') 0.0
('camacho', 'n') 0.0
('camina', 'n') 0.0
('camioneras', 'n') 0.0
('campa', 'n') 0.0
('campamento', 'n') 0.0
('campaña', 'n') 0.0
('campesinado', 'n') 0.0
('campo', 'n') 0.0
('canacintra', 'n') 0.0
('canaco', 'n') 0.0
('canadá', 'n') 0.0
('canalizarlos', 'n') 0.0
('cancino', 'n') 0.0
('candado', 'n') 0.0
('candidato', 'n') 0.0
('candidatura', 'n') 0.0
('cano', 'n') 0.0
