('d�lar', 'n') 0.9999999999999998
('velocidad', 'n') 0.037986858819879316
('peri�dico', 'n') 0.037688918072220454
('carretera', 'n') 0.03730235484764954
('democracia', 'n') 0.03711348095126027
('impuesto', 'n') 0.03711348095126027
('misi�n', 'n') 0.03711348095126027
('prote�na', 'n') 0.03711348095126027
('productor', 'n') 0.03692744729379982
('v�a', 'n') 0.03692744729379982
('tecnolog�a', 'n') 0.03678061789603122
('santa', 'n') 0.03669879217087868
('moratoria', 'n') 0.036297700432031385
('respeto', 'n') 0.03621034121889507
('ni�o', 'n') 0.03586710748941078
('noticia', 'n') 0.03586710748941078
('castellano', 'n') 0.03553345272593507
('desequilibrios', 'n') 0.03553345272593507
('puerta', 'n') 0.03553345272593507
('director', 'n') 0.0350689431732027
('propiedad', 'n') 0.034893157889942655
('actitud', 'n') 0.034815531191139566
('construcci�n', 'n') 0.034815531191139566
('definici�n', 'n') 0.034815531191139566
('gerente', 'n') 0.034815531191139566
('mesa', 'n') 0.03464274833209975
('hombre', 'n') 0.03458572319330373
('hambre', 'n') 0.03428627406618708
('acceso', 'n') 0.03413943709994594
('declaraci�n', 'n') 0.03413943709994594
('oscar', 'n') 0.03413943709994594
('pueblo', 'n') 0.03381583323641222
('presidente', 'n') 0.033575956834390845
('cr�tica', 'n') 0.0335012605086404
('entrada', 'n') 0.0335012605086404
('vigilancia', 'n') 0.0335012605086404
('actividad', 'n') 0.03343253990189948
('raz�n', 'n') 0.03343253990189948
('cooperaci�n', 'n') 0.03289758474798845
('falta', 'n') 0.03289758474798845
('mauricio', 'n') 0.03289758474798845
('meta', 'n') 0.03289758474798845
('respuesta', 'n') 0.03289758474798845
('compra', 'n') 0.032803992567592366
('tierra', 'n') 0.03270349700838643
('importaci�n', 'n') 0.032387513781564785
('doctor', 'n') 0.03232540919176179
('d�cada', 'n') 0.03232540919176179
('fuerza', 'n') 0.03232540919176179
('instalaci�n', 'n') 0.03232540919176179
('ahorro', 'n') 0.03214121732666125
('gente', 'n') 0.03190045575443351
('nombre', 'n') 0.03190045575443351
('ajuste', 'n') 0.03178208630818641
('art�culo', 'n') 0.03178208630818641
('regi�n', 'n') 0.03178208630818641
('servicio', 'n') 0.031655715683232756
('manera', 'n') 0.03152050090256395
('inversi�n', 'n') 0.03143473067309657
('opini�n', 'n') 0.03143473067309657
('justicia', 'n') 0.03137793797870103
('ambiente', 'n') 0.03126526997403612
('acierto', 'n') 0.03077287274483318
('actor', 'n') 0.03077287274483318
('aforo', 'n') 0.03077287274483318
('alemania', 'n') 0.03077287274483318
('apostados', 'n') 0.03077287274483318
('asistente', 'n') 0.03077287274483318
('aterrizaje', 'n') 0.03077287274483318
('autom�vil', 'n') 0.03077287274483318
('barrio', 'n') 0.03077287274483318
('calor', 'n') 0.03077287274483318
('ciencia', 'n') 0.03077287274483318
('convencidos', 'n') 0.03077287274483318
('copia', 'n') 0.03077287274483318
('cultivo', 'n') 0.03077287274483318
('dependencia', 'n') 0.03077287274483318
('derrota', 'n') 0.03077287274483318
('descubrimiento', 'n') 0.03077287274483318
('desequilibrio', 'n') 0.03077287274483318
('elaborada', 'n') 0.03077287274483318
('encuentro', 'n') 0.03077287274483318
('espalda', 'n') 0.03077287274483318
('estacionamiento', 'n') 0.03077287274483318
('estrato', 'n') 0.03077287274483318
('exceso', 'n') 0.03077287274483318
('expediente', 'n') 0.03077287274483318
('formatos', 'n') 0.03077287274483318
('fotograf�a', 'n') 0.03077287274483318
('francia', 'n') 0.03077287274483318
('homil�a', 'n') 0.03077287274483318
('ilusi�n', 'n') 0.03077287274483318
('impida', 'n') 0.03077287274483318
('infraestructura', 'n') 0.03077287274483318
('inmueble', 'n') 0.03077287274483318
('instrumento', 'n') 0.03077287274483318
('insuficiencia', 'n') 0.03077287274483318
('invadidas', 'n') 0.03077287274483318
('invadidos', 'n') 0.03077287274483318
('invasor', 'n') 0.03077287274483318
('jesucristo', 'n') 0.03077287274483318
('lactosa', 'n') 0.03077287274483318
('legislativo', 'n') 0.03077287274483318
('lejana', 'n') 0.03077287274483318
('marea', 'n') 0.03077287274483318
('mercadeo', 'n') 0.03077287274483318
('muerto', 'n') 0.03077287274483318
('m�xicoquer�taro', 'n') 0.03077287274483318
('necesita', 'n') 0.03077287274483318
('negativa', 'n') 0.03077287274483318
('oposici�n', 'n') 0.03077287274483318
('orbe', 'n') 0.03077287274483318
('par�metro', 'n') 0.03077287274483318
('plano', 'n') 0.03077287274483318
('plataforma', 'n') 0.03077287274483318
('principio', 'n') 0.03077287274483318
('proteja', 'n') 0.03077287274483318
('quintero', 'n') 0.03077287274483318
('razonamiento', 'n') 0.03077287274483318
('redocumentado', 'n') 0.03077287274483318
('reestructura', 'n') 0.03077287274483318
('responsable', 'n') 0.03077287274483318
('romero', 'n') 0.03077287274483318
('rubros', 'n') 0.03077287274483318
('secci�n', 'n') 0.03077287274483318
('sepa', 'n') 0.03077287274483318
('simpat�a', 'n') 0.03077287274483318
('sindicalizados', 'n') 0.03077287274483318
('sobrevivencia', 'n') 0.03077287274483318
('trato', 'n') 0.03077287274483318
('t�cnica', 'n') 0.03077287274483318
('vendidos', 'n') 0.03077287274483318
('viento', 'n') 0.03077287274483318
('virtud', 'n') 0.03077287274483318
('zavala', 'n') 0.03077287274483318
('z�calo', 'n') 0.03077287274483318
('�nimo', 'n') 0.03077287274483318
('�rbita', 'n') 0.03077287274483318
('asamblea', 'n') 0.030561372831402308
('periodista', 'n') 0.030561372831402308
('punto', 'n') 0.030561372831402308
('proceso', 'n') 0.030354174694363238
('causa', 'n') 0.0303030303030303
('constituci�n', 'n') 0.0303030303030303
('contrario', 'n') 0.0303030303030303
('nueva', 'n') 0.0303030303030303
('bmv', 'n') 0.029854071701326604
('escenario', 'n') 0.029854071701326604
('rescate', 'n') 0.029854071701326604
('n�mero', 'n') 0.029530148137252313
('hecho', 'n') 0.029424494316824982
('p�gina', 'n') 0.029377899680597796
('aeropuerto', 'n') 0.02919371040605711
('derecho', 'n') 0.029012942659282975
('acento', 'n') 0.029012942659282972
('apoderado', 'n') 0.029012942659282972
('asamble�sta', 'n') 0.029012942659282972
('ascenso', 'n') 0.029012942659282972
('auditorias', 'n') 0.029012942659282972
('calder�n', 'n') 0.029012942659282972
('citadino', 'n') 0.029012942659282972
('cl�usula', 'n') 0.029012942659282972
('conjunto', 'n') 0.029012942659282972
('corporativas', 'n') 0.029012942659282972
('desempe�o', 'n') 0.029012942659282972
('dificultad', 'n') 0.029012942659282972
('enlaza', 'n') 0.029012942659282972
('espectador', 'n') 0.029012942659282972
('estabilizaci�n', 'n') 0.029012942659282972
('fantas�a', 'n') 0.029012942659282972
('finqueros', 'n') 0.029012942659282972
('hinojosa', 'n') 0.029012942659282972
('identificaci�n', 'n') 0.029012942659282972
('instrumentado', 'n') 0.029012942659282972
('insumo', 'n') 0.029012942659282972
('liquidez', 'n') 0.029012942659282972
('li�vano', 'n') 0.029012942659282972
('l�cteas', 'n') 0.029012942659282972
('metro', 'n') 0.029012942659282972
('min�scula', 'n') 0.029012942659282972
('nombramiento', 'n') 0.029012942659282972
('pasajero', 'n') 0.029012942659282972
('pe�a', 'n') 0.029012942659282972
('pr�stamo', 'n') 0.029012942659282972
('recomendaci�n', 'n') 0.029012942659282972
('requerimiento', 'n') 0.029012942659282972
('rodrigo', 'n') 0.029012942659282972
('tribuna', 'n') 0.029012942659282972
('volatilidad', 'n') 0.029012942659282972
('v�ctima', 'n') 0.029012942659282972
('predio', 'n') 0.02881353862860652
('ciudadano', 'n') 0.02861819035160712
('polvo', 'n') 0.02861819035160712
('tipo', 'n') 0.02861819035160712
('capitalino', 'n') 0.028239124736245246
('congreso', 'n') 0.028239124736245246
('mario', 'n') 0.028239124736245246
('naci�n', 'n') 0.028239124736245246
('objetivo', 'n') 0.02787473366690302
('farmacia', 'n') 0.02752409412815901
('inactivas', 'n') 0.02752409412815901
('objetivas', 'n') 0.02752409412815901
('ociosa', 'n') 0.02752409412815901
('restrictiva', 'n') 0.02752409412815901
('revolucionario', 'n') 0.02752409412815901
('apoyo', 'n') 0.027372445072567947
('vez', 'n') 0.027353664662073937
('polic�a', 'n') 0.02707651805369412
('aumento', 'n') 0.026860765467512676
('mensaje', 'n') 0.026860765467512676
('calidad', 'n') 0.026243194054073896
('democratizadora', 'n') 0.026243194054073896
('denuncia', 'n') 0.026243194054073896
('desabasto', 'n') 0.026243194054073896
('mar�a', 'n') 0.026243194054073896
('procesamiento', 'n') 0.026243194054073896
('inform�tica', 'n') 0.025949964805384095
('productiva', 'n') 0.025949964805384095
('california', 'n') 0.02566635011696727
('equipo', 'n') 0.02566635011696727
('moral', 'n') 0.02566635011696727
('computadora', 'n') 0.02560457782495946
('plana', 'n') 0.025482359571881278
('rep�blica', 'n') 0.025482359571881278
('veh�culo', 'n') 0.025391835805951276
('investigaci�n', 'n') 0.02536187492730917
('actuaci�n', 'n') 0.025125945381480302
('alem�n', 'n') 0.025125945381480302
('borde', 'n') 0.025125945381480302
('carlos', 'n') 0.025125945381480302
('consecuencia', 'n') 0.025125945381480302
('continuaci�n', 'n') 0.025125945381480302
('drama', 'n') 0.025125945381480302
('escasez', 'n') 0.025125945381480302
('esperanza', 'n') 0.025125945381480302
('europa', 'n') 0.025125945381480302
('expansi�n', 'n') 0.025125945381480302
('factor', 'n') 0.025125945381480302
('funcionando', 'n') 0.025125945381480302
('hoja', 'n') 0.025125945381480302
('juez', 'n') 0.025125945381480302
('michel', 'n') 0.025125945381480302
('objeto', 'n') 0.025125945381480302
('ofrecimiento', 'n') 0.025125945381480302
('parmistas', 'n') 0.025125945381480302
('reconocimiento', 'n') 0.025125945381480302
('representante', 'n') 0.025125945381480302
('socioecon�micos', 'n') 0.025125945381480302
('soluci�n', 'n') 0.025125945381480302
('suerte', 'n') 0.025125945381480302
('utilizaci�n', 'n') 0.025125945381480302
('vicepresidente', 'n') 0.025125945381480302
('vicio', 'n') 0.025125945381480302
('gonz�lez', 'n') 0.024375747470904353
('propuesta', 'n') 0.024375747470904353
('unidos', 'n') 0.0243492376778837
('anuncio', 'n') 0.02414022747926338
('arrendadora', 'n') 0.02414022747926338
('asesino', 'n') 0.02414022747926338
('china', 'n') 0.02414022747926338
('complejo', 'n') 0.02414022747926338
('comunidad', 'n') 0.02414022747926338
('consulta', 'n') 0.02414022747926338
('desgracia', 'n') 0.02414022747926338
('evidencia', 'n') 0.02414022747926338
('fuente', 'n') 0.02414022747926338
('funcionamiento', 'n') 0.02414022747926338
('f�lix', 'n') 0.02414022747926338
('guillermo', 'n') 0.02414022747926338
('l�mite', 'n') 0.02414022747926338
('moda', 'n') 0.02414022747926338
('mu�oz', 'n') 0.02414022747926338
('obrero', 'n') 0.02414022747926338
('onu', 'n') 0.02414022747926338
('ox�geno', 'n') 0.02414022747926338
('retraso', 'n') 0.02414022747926338
('riqueza', 'n') 0.02414022747926338
('senado', 'n') 0.02414022747926338
('senador', 'n') 0.02414022747926338
('sergio', 'n') 0.02414022747926338
('sueldo', 'n') 0.02414022747926338
('tijuana', 'n') 0.02414022747926338
('urgencia', 'n') 0.02414022747926338
('verg�enza', 'n') 0.02414022747926338
('pasivos', 'n') 0.023688968483956713
('zedillo', 'n') 0.023688968483956713
('organizaci�n', 'n') 0.023580053109413426
('arco', 'n') 0.02326210525996177
('desastre', 'n') 0.02326210525996177
('leyes', 'n') 0.02326210525996177
('m�todo', 'n') 0.02326210525996177
('orientaci�n', 'n') 0.02326210525996177
('presario', 'n') 0.02326210525996177
('rodolfo', 'n') 0.02326210525996177
('territorio', 'n') 0.02326210525996177
('vacaci�n', 'n') 0.02326210525996177
('financiero', 'n') 0.022727272727272724
('canc�n', 'n') 0.022473328748774734
('finanzas', 'n') 0.022473328748774734
('jornada', 'n') 0.022473328748774734
('�xodo', 'n') 0.022473328748774734
('movimiento', 'n') 0.022288359934599655
('se�or', 'n') 0.022147611102939238
('televisi�n', 'n') 0.022107884414269093
('chirinos', 'n') 0.021759706994462228
('conocimiento', 'n') 0.021759706994462228
('da�o', 'n') 0.021759706994462228
('generaci�n', 'n') 0.021759706994462228
('intenci�n', 'n') 0.021759706994462228
('l�ctea', 'n') 0.021759706994462228
('material', 'n') 0.021759706994462228
('padre', 'n') 0.021759706994462228
('palabra', 'n') 0.021759706994462228
('pretexto', 'n') 0.021759706994462228
('procedimiento', 'n') 0.021759706994462228
('puente', 'n') 0.021759706994462228
('reacci�n', 'n') 0.021759706994462228
('viaje', 'n') 0.021759706994462228
('violencia', 'n') 0.021759706994462228
('vocero', 'n') 0.021759706994462228
('trabajo', 'n') 0.021463642763705344
('capacidad', 'n') 0.021427478217774167
('mexicana', 'n') 0.021427478217774167
('campesina', 'n') 0.02126697050295567
('pobreza', 'n') 0.02126697050295567
('tema', 'n') 0.02126697050295567
('combate', 'n') 0.02111001654603745
('comentario', 'n') 0.02111001654603745
('compuertas', 'n') 0.02111001654603745
('ej�rcito', 'n') 0.02111001654603745
('esquina', 'n') 0.02111001654603745
('estricto', 'n') 0.02111001654603745
('lenguaje', 'n') 0.02111001654603745
('naturaleza', 'n') 0.02111001654603745
('pol�tico', 'n') 0.02111001654603745
('presupuesto', 'n') 0.02111001654603745
('r�o', 'n') 0.02111001654603745
('tesis', 'n') 0.02111001654603745
('lector', 'n') 0.020806259464411975
('aniversario', 'n') 0.020515248496555453
('canal', 'n') 0.020515248496555453
('c�mputo', 'n') 0.020515248496555453
('delincuente', 'n') 0.020515248496555453
('educaci�n', 'n') 0.020515248496555453
('garant�a', 'n') 0.020515248496555453
('moneda', 'n') 0.020515248496555453
('multimedia', 'n') 0.020515248496555453
('obra', 'n') 0.020515248496555453
('pasi�n', 'n') 0.020515248496555453
('representaci�n', 'n') 0.020515248496555453
('v�ctor', 'n') 0.020515248496555453
('acreedor', 'n') 0.019968076595771794
('bonos', 'n') 0.019968076595771794
('distribuci�n', 'n') 0.019968076595771794
('millonario', 'n') 0.019968076595771794
('patrulla', 'n') 0.019968076595771794
('protecci�n', 'n') 0.019968076595771794
('suero', 'n') 0.019968076595771794
('administraci�n', 'n') 0.019837990021453852
('aburto', 'n') 0.01946247360403807
('aspecto', 'n') 0.01946247360403807
('billete', 'n') 0.01946247360403807
('italia', 'n') 0.01946247360403807
('l�der', 'n') 0.01946247360403807
('micro', 'n') 0.01946247360403807
('pie', 'n') 0.01946247360403807
('roberto', 'n') 0.01946247360403807
('superficie', 'n') 0.01946247360403807
('tr�mite', 'n') 0.01946247360403807
('alvarez', 'n') 0.018993429409939658
('amigo', 'n') 0.018993429409939658
('avance', 'n') 0.018993429409939658
('cuenta', 'n') 0.018993429409939658
('enfrentamiento', 'n') 0.018993429409939658
('irregularidad', 'n') 0.018993429409939658
('marco', 'n') 0.018993429409939658
('panista', 'n') 0.018993429409939658
('ricardo', 'n') 0.018993429409939658
('roma', 'n') 0.018993429409939658
('apertura', 'n') 0.018556740475630135
('centro', 'n') 0.018556740475630135
('importancia', 'n') 0.018556740475630135
('independientes', 'n') 0.018556740475630135
('libertad', 'n') 0.018556740475630135
('marcha', 'n') 0.018556740475630135
('requisito', 'n') 0.018556740475630135
('ruta', 'n') 0.018556740475630135
('sequ�a', 'n') 0.018556740475630135
('tratado', 'n') 0.018556740475630135
('�poca', 'n') 0.018556740475630135
('comisi�n', 'n') 0.01834939608543934
('carta', 'n') 0.018148850216015693
('fomento', 'n') 0.018148850216015693
('fuga', 'n') 0.018148850216015693
('hambruna', 'n') 0.018148850216015693
('lista', 'n') 0.018148850216015693
('rico', 'n') 0.018148850216015693
('solicitud', 'n') 0.018148850216015693
('tortilla', 'n') 0.018148850216015693
('rumbo', 'n') 0.01806180486906878
('elecci�n', 'n') 0.017859990659227328
('alza', 'n') 0.017766726362967535
('auxilio', 'n') 0.017766726362967535
('lucha', 'n') 0.017766726362967535
('representantes', 'n') 0.017766726362967535
('turismo', 'n') 0.017766726362967535
('primero', 'n') 0.017584498711333246
('cargo', 'n') 0.017407765595569783
('radio', 'n') 0.017407765595569783
('seguimiento', 'n') 0.017407765595569783
('voto', 'n') 0.017407765595569783
('dirigente', 'n') 0.01715238110873599
('cuerpo', 'n') 0.01706971854997297
('ley', 'n') 0.01706971854997297
('prd', 'n') 0.01706971854997297
('puestos', 'n') 0.01706971854997297
('red', 'n') 0.016988239714587516
('secretar�a', 'n') 0.016988239714587516
('chiapaneco', 'n') 0.016448792373994225
('hijo', 'n') 0.016448792373994225
('juicio', 'n') 0.016448792373994225
('lara', 'n') 0.016448792373994225
('mujer', 'n') 0.016448792373994225
('vista', 'n') 0.016448792373994225
('manzana', 'n') 0.016375848367682515
('carga', 'n') 0.016162704595880897
('economista', 'n') 0.016162704595880897
('pesar', 'n') 0.016162704595880897
('reducci�n', 'n') 0.016162704595880897
('bien', 'n') 0.015891043154093204
('pgr', 'n') 0.015891043154093204
('reestructuraci�n', 'n') 0.015891043154093204
('siglo', 'n') 0.015891043154093204
('bebida', 'n') 0.01563263498701806
('herramienta', 'n') 0.01563263498701806
('java', 'n') 0.01563263498701806
('eduardo', 'n') 0.01538643637241659
('fern�ndez', 'n') 0.01538643637241659
('oferta', 'n') 0.01538643637241659
('pnud', 'n') 0.01538643637241659
('salida', 'n') 0.01538643637241659
('destino', 'n') 0.01515151515151515
('instancia', 'n') 0.01515151515151515
('distrito', 'n') 0.015038019057934235
('dirigencia', 'n') 0.014927035850663302
('espacio', 'n') 0.014927035850663302
('necesidad', 'n') 0.014927035850663302
('procuradur�a', 'n') 0.014927035850663302
('serie', 'n') 0.014927035850663302
('hermano', 'n') 0.014712247158412491
('muerte', 'n') 0.014712247158412491
('par', 'n') 0.014712247158412491
('pel�cula', 'n') 0.014712247158412491
('agencia', 'n') 0.014506471329641486
('procurador', 'n') 0.014506471329641486
('responsables', 'n') 0.014506471329641486
('tarjeta', 'n') 0.01430909517580356
('verdad', 'n') 0.01430909517580356
('asunto', 'n') 0.014119562368122623
('calle', 'n') 0.014119562368122623
('zona', 'n') 0.01393736683345151
('saldo', 'n') 0.013848874720779206
('junto', 'n') 0.013762047064079505
('madero', 'n') 0.013762047064079505
('vecino', 'n') 0.013762047064079505
('voluntad', 'n') 0.013762047064079505
('crimen', 'n') 0.013121597027036948
('m�dulo', 'n') 0.012833175058483635
('facultad', 'n') 0.012695917902975638
('gobernaci�n', 'n') 0.012695917902975638
('compa��a', 'n') 0.012562972690740151
('nota', 'n') 0.012558648831486031
('di�logo', 'n') 0.012434118282549844
('gobernador', 'n') 0.012434118282549844
('antonio', 'n') 0.012309149097933273
('flor', 'n') 0.012187873735452177
('tonelada', 'n') 0.01207011373963169
('subsidio', 'n') 0.011736313170325505
('ramo', 'n') 0.011631052629980885
('reuni�n', 'n') 0.01152857439776791
('conflicto', 'n') 0.011331490227483414
('financiera', 'n') 0.011318176287710665
('estudio', 'n') 0.011236664374387367
('periodismo', 'n') 0.011053942207134546
('empleo', 'n') 0.010879853497231114
('realidad', 'n') 0.010713739108887083
('asesinato', 'n') 0.010403129732205987
('francisco', 'n') 0.010329608459480109
('asociaci�n', 'n') 0.010187124277134101
('diputado', 'n') 0.010187124277134101
('cabo', 'n') 0.00922609731347581
('auditor�a', 'n') 0.00917469804271967
('sindicato', 'n') 0.009074425108007846
('consejo', 'n') 0.008792249355666623
('hora', 'n') 0.008660687083024938
('foro', 'n') 0.008494119857293758
('colosio', 'n') 0.007663341497861714
('luis', 'n') 0.007036672182012484
('programa', 'n') 0.006675573372931909
('colonia', 'n') 0.006598396520540797
('ciudad', 'n') 0.006434095304018191
('abandonando', 'n') 0.0
('abarrotado', 'n') 0.0
('abasto', 'n') 0.0
('abbasso', 'n') 0.0
('abitia', 'n') 0.0
('abono', 'n') 0.0
('abrego', 'n') 0.0
('absuelto', 'n') 0.0
('abuso', 'n') 0.0
('acapulco', 'n') 0.0
('acarreo', 'n') 0.0
('acaso', 'n') 0.0
('accidente', 'n') 0.0
('accionista', 'n') 0.0
('acelera', 'n') 0.0
('acelerado', 'n') 0.0
('acercaba', 'n') 0.0
('acero', 'n') 0.0
('acertada', 'n') 0.0
('acompa�a', 'n') 0.0
('acompa�amiento', 'n') 0.0
('acontecimiento', 'n') 0.0
('acopio', 'n') 0.0
('acoplamiento', 'n') 0.0
('activa', 'n') 0.0
('activo', 'n') 0.0
('acto', 'n') 0.0
('actualizados', 'n') 0.0
('acumulaci�n', 'n') 0.0
('adeudos', 'n') 0.0
('adici�n', 'n') 0.0
('adjudicados', 'n') 0.0
('adjunta', 'n') 0.0
('adjunto', 'n') 0.0
('administrativo', 'n') 0.0
('admirarla', 'n') 0.0
('adornado', 'n') 0.0
('adquisici�n', 'n') 0.0
('adujo', 'n') 0.0
('adulto', 'n') 0.0
('advenedizo', 'n') 0.0
('advenimiento', 'n') 0.0
('advertencia', 'n') 0.0
('advertir�a', 'n') 0.0
('aerol�neas', 'n') 0.0
('aeronave', 'n') 0.0
('aeroportuarias', 'n') 0.0
('afectados', 'n') 0.0
('afiliados', 'n') 0.0
('afirma', 'n') 0.0
('aforismo', 'n') 0.0
('afortunados', 'n') 0.0
('africa', 'n') 0.0
('afuera', 'n') 0.0
('agenda', 'n') 0.0
('agente', 'n') 0.0
('agilidad', 'n') 0.0
('agon�a', 'n') 0.0
('agradezco', 'n') 0.0
('agradezgo', 'n') 0.0
('agrarias', 'n') 0.0
('agrario', 'n') 0.0
('agrarios', 'n') 0.0
('agrarismo', 'n') 0.0
('agraristas', 'n') 0.0
('agregado', 'n') 0.0
('agremiados', 'n') 0.0
('agro', 'n') 0.0
('agrupaci�n', 'n') 0.0
('agrupadas', 'n') 0.0
('agua', 'n') 0.0
('aguda', 'n') 0.0
('agudiza', 'n') 0.0
('aguinaco', 'n') 0.0
('ahogada', 'n') 0.0
('ahorita', 'n') 0.0
('aire', 'n') 0.0
('ala', 'n') 0.0
('alargamiento', 'n') 0.0
('albino', 'n') 0.0
('alcalde', 'n') 0.0
('alcance', 'n') 0.0
('alcanza', 'n') 0.0
('alcayaga', 'n') 0.0
('alcoh�lica', 'n') 0.0
('alejados', 'n') 0.0
('alejandro', 'n') 0.0
('alej�monos', 'n') 0.0
('alemanista', 'n') 0.0
('alerta', 'n') 0.0
('alertado', 'n') 0.0
('alfa', 'n') 0.0
('alfaro', 'n') 0.0
('alfonso', 'n') 0.0
('alfredo', 'n') 0.0
('alimenticios', 'n') 0.0
('alimento', 'n') 0.0
('allegada', 'n') 0.0
('allora', 'n') 0.0
('almacenada', 'n') 0.0
('almoloya', 'n') 0.0
('alonso', 'n') 0.0
('alpha', 'n') 0.0
('altamirano', 'n') 0.0
('alterno', 'n') 0.0
('alto', 'n') 0.0
('altura', 'n') 0.0
('alumno', 'n') 0.0
('alvarado', 'n') 0.0
('alvaro', 'n') 0.0
('alzamiento', 'n') 0.0
('amarra', 'n') 0.0
('ama�adas', 'n') 0.0
('amelia', 'n') 0.0
('amenaza', 'n') 0.0
('america', 'n') 0.0
('amiga', 'n') 0.0
('amor', 'n') 0.0
('amparo', 'n') 0.0
('am�rica', 'n') 0.0
('anarqu�a', 'n') 0.0
('anciano', 'n') 0.0
('andr�meda', 'n') 0.0
('anexo', 'n') 0.0
('angel', 'n') 0.0
('angloamericanos', 'n') 0.0
('angustia', 'n') 0.0
('angustioso', 'n') 0.0
('anomal�a', 'n') 0.0
('ansioso', 'n') 0.0
('antag�nicas', 'n') 0.0
('anta�o', 'n') 0.0
('antecesor', 'n') 0.0
('antelmo', 'n') 0.0
('anteproyecto', 'n') 0.0
('anticipa', 'n') 0.0
('antig�ita', 'n') 0.0
('antuna', 'n') 0.0
('apapacho', 'n') 0.0
('aparato', 'n') 0.0
('aparici�n', 'n') 0.0
('apartadas', 'n') 0.0
('apartado', 'n') 0.0
('apegadas', 'n') 0.0
('apego', 'n') 0.0
('apelaci�n', 'n') 0.0
('aplicando', 'n') 0.0
('aportados', 'n') 0.0
('apote�tica', 'n') 0.0
('apoyadas', 'n') 0.0
('apreciaci�n', 'n') 0.0
('apresta', 'n') 0.0
('aprobaci�n', 'n') 0.0
('aprovechada', 'n') 0.0
('aprovechamiento', 'n') 0.0
('aprovechemos', 'n') 0.0
('aproximados', 'n') 0.0
('arag�n', 'n') 0.0
('arancel', 'n') 0.0
('arbitraria', 'n') 0.0
('archivo', 'n') 0.0
('arena', 'n') 0.0
('argumento', 'n') 0.0
('arma', 'n') 0.0
('armando', 'n') 0.0
('arm�nico', 'n') 0.0
('arquitecto', 'n') 0.0
('arquitectura', 'n') 0.0
('arrancando', 'n') 0.0
('arrastra', 'n') 0.0
('arreglo', 'n') 0.0
('arreola', 'n') 0.0
('arresto', 'n') 0.0
('arroba', 'n') 0.0
('arroyo', 'n') 0.0
('arte', 'n') 0.0
('artista', 'n') 0.0
('arturo', 'n') 0.0
('arzobispo', 'n') 0.0
('asalariado', 'n') 0.0
('asaltante', 'n') 0.0
('asamble�stas', 'n') 0.0
('asegura', 'n') 0.0
('asegurados', 'n') 0.0
('asesor', 'n') 0.0
('asesor�a', 'n') 0.0
('asigna', 'n') 0.0
('asimila', 'n') 0.0
('aspiraci�n', 'n') 0.0
('astronauta', 'n') 0.0
('astroso', 'n') 0.0
('astucia', 'n') 0.0
('ataba', 'n') 0.0
('atenderlo', 'n') 0.0
('atinado', 'n') 0.0
('atraso', 'n') 0.0
('atravesarlo', 'n') 0.0
('atribuci�n', 'n') 0.0
('audio', 'n') 0.0
('auditorio', 'n') 0.0
('augusta', 'n') 0.0
('ausentismo', 'n') 0.0
('auspiciado', 'n') 0.0
('australia', 'n') 0.0
('auto', 'n') 0.0
('autoconsumo', 'n') 0.0
('autom�tico', 'n') 0.0
('autonom�a', 'n') 0.0
('autor', 'n') 0.0
('autoritarismo', 'n') 0.0
('aut�ntico', 'n') 0.0
('aut�noma', 'n') 0.0
('auxilia', 'n') 0.0
('aval�os', 'n') 0.0
('avenida', 'n') 0.0
('aversi�n', 'n') 0.0
('avila', 'n') 0.0
('avi�n', 'n') 0.0
('ayala', 'n') 0.0
('ayuda', 'n') 0.0
('azcapotzalco', 'n') 0.0
('azteca', 'n') 0.0
('az�car', 'n') 0.0
('a�rea', 'n') 0.0
('baile', 'n') 0.0
('balance', 'n') 0.0
('baldenegro', 'n') 0.0
('balneario', 'n') 0.0
('bancaria', 'n') 0.0
('bancario', 'n') 0.0
('bancarios', 'n') 0.0
('bancarrota', 'n') 0.0
('bandera', 'n') 0.0
('bandido', 'n') 0.0
('bando', 'n') 0.0
('banobras', 'n') 0.0
('banqueta', 'n') 0.0
('baranda', 'n') 0.0
('barca', 'n') 0.0
('barco', 'n') 0.0
('barra', 'n') 0.0
('barreda', 'n') 0.0
('bartola', 'n') 0.0
('basta', 'n') 0.0
('basura', 'n') 0.0
('ba�o', 'n') 0.0
('beca', 'n') 0.0
('bell', 'n') 0.0
('bendici�n', 'n') 0.0
('beneficiando', 'n') 0.0
('beneficiario', 'n') 0.0
('beneficio', 'n') 0.0
('benito', 'n') 0.0
('ben�volo', 'n') 0.0
('bezanilla', 'n') 0.0
('bicicleta', 'n') 0.0
('bienintencionado', 'n') 0.0
('bienvenidos', 'n') 0.0
('biof�sicos', 'n') 0.0
('bla', 'n') 0.0
('blaha', 'n') 0.0
('blanco', 'n') 0.0
('bloquea', 'n') 0.0
('bobo', 'n') 0.0
('boca', 'n') 0.0
('boeing', 'n') 0.0
('bolita', 'n') 0.0
('bombardea', 'n') 0.0
('bonhom�a', 'n') 0.0
('bordo', 'n') 0.0
('borja', 'n') 0.0
('brecha', 'n') 0.0
('breta�a', 'n') 0.0
('brote', 'n') 0.0
('brusca', 'n') 0.0
('burladas', 'n') 0.0
('but�rica', 'n') 0.0
('b�falo', 'n') 0.0
('b�ho', 'n') 0.0
('caballero', 'n') 0.0
