[('interés', 'n'), 50] 16.578787320066404
[('cultura', 'n'), 4] 10.85129849335349
[('liconsa', 'n'), 4] 10.85129849335349
[('origen', 'n'), 4] 10.85129849335349
[('texto', 'n'), 4] 10.85129849335349
[('millonario', 'n'), 4] 10.85129849335349
[('lista', 'n'), 4] 10.85129849335349
[('nave', 'n'), 4] 10.85129849335349
[('combate', 'n'), 4] 10.85129849335349
[('méndez', 'n'), 4] 10.85129849335349
[('puesto', 'n'), 4] 10.85129849335349
[('diario', 'n'), 4] 10.85129849335349
[('distribución', 'n'), 4] 10.85129849335349
[('ventura', 'n'), 4] 10.85129849335349
[('jiménez', 'n'), 4] 10.85129849335349
[('ciberespacio', 'n'), 4] 10.85129849335349
[('roma', 'n'), 4] 10.85129849335349
[('multimedia', 'n'), 4] 10.85129849335349
[('capitalinos', 'n'), 4] 10.85129849335349
[('ejército', 'n'), 4] 10.85129849335349
[('delincuente', 'n'), 4] 10.85129849335349
[('pasión', 'n'), 4] 10.85129849335349
[('aburto', 'n'), 4] 10.85129849335349
[('división', 'n'), 4] 10.85129849335349
[('java', 'n'), 4] 10.85129849335349
[('baranda', 'n'), 4] 10.85129849335349
[('arreglo', 'n'), 4] 10.85129849335349
[('viaje', 'n'), 4] 10.85129849335349
[('mediano', 'n'), 4] 10.85129849335349
[('especie', 'n'), 4] 10.85129849335349
[('chapa', 'n'), 4] 10.85129849335349
[('corella', 'n'), 4] 10.85129849335349
[('eficacia', 'n'), 4] 10.85129849335349
[('tarde', 'n'), 4] 10.85129849335349
[('cuidado', 'n'), 4] 10.85129849335349
[('aniversario', 'n'), 4] 10.85129849335349
[('canal', 'n'), 4] 10.85129849335349
[('agrarios', 'n'), 4] 10.85129849335349
[('divisa', 'n'), 4] 10.85129849335349
[('propósito', 'n'), 4] 10.85129849335349
[('libro', 'n'), 4] 10.85129849335349
[('temporada', 'n'), 4] 10.85129849335349
[('candidato', 'n'), 4] 10.85129849335349
[('degradación', 'n'), 4] 10.85129849335349
[('ayuda', 'n'), 4] 10.85129849335349
[('rosado', 'n'), 4] 10.85129849335349
[('garantía', 'n'), 4] 10.85129849335349
[('impulso', 'n'), 4] 10.85129849335349
[('daño', 'n'), 4] 10.85129849335349
[('pasatiempo', 'n'), 4] 10.85129849335349
[('superficie', 'n'), 4] 10.85129849335349
[('procedimiento', 'n'), 4] 10.85129849335349
[('material', 'n'), 4] 10.85129849335349
[('espinosa', 'n'), 4] 10.85129849335349
[('esquina', 'n'), 4] 10.85129849335349
[('turismo', 'n'), 4] 10.85129849335349
[('hollywood', 'n'), 4] 10.85129849335349
[('creación', 'n'), 4] 10.85129849335349
[('moneda', 'n'), 4] 10.85129849335349
[('puente', 'n'), 4] 10.85129849335349
[('proteína', 'n'), 4] 10.85129849335349
[('corazón', 'n'), 4] 10.85129849335349
[('vuelo', 'n'), 4] 10.85129849335349
[('generación', 'n'), 4] 10.85129849335349
[('polvo', 'n'), 4] 10.85129849335349
[('sindicatura', 'n'), 4] 10.85129849335349
[('reacción', 'n'), 4] 10.85129849335349
[('sesión', 'n'), 4] 10.85129849335349
[('norberto', 'n'), 4] 10.85129849335349
[('pena', 'n'), 4] 10.85129849335349
[('cero', 'n'), 4] 10.85129849335349
[('palabra', 'n'), 4] 10.85129849335349
[('representación', 'n'), 4] 10.85129849335349
[('alcayaga', 'n'), 4] 10.85129849335349
[('obra', 'n'), 4] 10.85129849335349
[('autobús', 'n'), 4] 10.85129849335349
[('arroba', 'n'), 4] 10.85129849335349
[('disposición', 'n'), 4] 10.85129849335349
[('atención', 'n'), 4] 10.85129849335349
[('lenguaje', 'n'), 4] 10.85129849335349
[('natalio', 'n'), 4] 10.85129849335349
[('micro', 'n'), 4] 10.85129849335349
[('color', 'n'), 4] 10.85129849335349
[('colosistas', 'n'), 4] 10.85129849335349
[('padre', 'n'), 4] 10.85129849335349
[('estricto', 'n'), 4] 10.85129849335349
[('corriente', 'n'), 4] 10.85129849335349
[('inicio', 'n'), 4] 10.85129849335349
[('arzobispo', 'n'), 4] 10.85129849335349
[('junta', 'n'), 4] 10.85129849335349
[('río', 'n'), 4] 10.85129849335349
[('alvaro', 'n'), 4] 10.85129849335349
[('diseño', 'n'), 4] 10.85129849335349
[('presupuesto', 'n'), 4] 10.85129849335349
[('presidencia', 'n'), 4] 10.85129849335349
[('reto', 'n'), 4] 10.85129849335349
[('equilibrio', 'n'), 4] 10.85129849335349
[('comentario', 'n'), 4] 10.85129849335349
[('especialista', 'n'), 4] 10.85129849335349
[('patrulla', 'n'), 4] 10.85129849335349
[('castellano', 'n'), 4] 10.85129849335349
[('quedarnos', 'n'), 3] 9.745611806324142
[('volumen', 'n'), 3] 9.745611806324142
[('sagrado', 'n'), 3] 9.745611806324142
[('fenómeno', 'n'), 3] 9.745611806324142
[('arrendadora', 'n'), 3] 9.745611806324142
[('preguntarnos', 'n'), 3] 9.745611806324142
[('factor', 'n'), 3] 9.745611806324142
[('finanzas', 'n'), 3] 9.745611806324142
[('garduño', 'n'), 3] 9.745611806324142
[('desperdicio', 'n'), 3] 9.745611806324142
[('modifica', 'n'), 3] 9.745611806324142
[('internado', 'n'), 3] 9.745611806324142
[('anomalía', 'n'), 3] 9.745611806324142
[('cobertura', 'n'), 3] 9.745611806324142
[('hogar', 'n'), 3] 9.745611806324142
[('productivas', 'n'), 3] 9.745611806324142
[('significativos', 'n'), 3] 9.745611806324142
[('encabezados', 'n'), 3] 9.745611806324142
[('engaño', 'n'), 3] 9.745611806324142
[('magaña', 'n'), 3] 9.745611806324142
[('don', 'n'), 3] 9.745611806324142
[('legislador', 'n'), 3] 9.745611806324142
[('alemán', 'n'), 3] 9.745611806324142
[('enfermo', 'n'), 3] 9.745611806324142
[('cine', 'n'), 3] 9.745611806324142
[('madre', 'n'), 3] 9.745611806324142
[('telefónica', 'n'), 3] 9.745611806324142
[('senador', 'n'), 3] 9.745611806324142
[('impacto', 'n'), 3] 9.745611806324142
[('comunidad', 'n'), 3] 9.745611806324142
[('jalisco', 'n'), 3] 9.745611806324142
[('existencia', 'n'), 3] 9.745611806324142
[('provocando', 'n'), 3] 9.745611806324142
[('afuera', 'n'), 3] 9.745611806324142
[('consulta', 'n'), 3] 9.745611806324142
[('senado', 'n'), 3] 9.745611806324142
[('conspiración', 'n'), 3] 9.745611806324142
[('pablo', 'n'), 3] 9.745611806324142
[('mendoza', 'n'), 3] 9.745611806324142
[('socioeconómicos', 'n'), 3] 9.745611806324142
[('recesión', 'n'), 3] 9.745611806324142
[('amenaza', 'n'), 3] 9.745611806324142
[('desastre', 'n'), 3] 9.745611806324142
[('afiliados', 'n'), 3] 9.745611806324142
[('frontera', 'n'), 3] 9.745611806324142
[('privado', 'n'), 3] 9.745611806324142
[('prófugo', 'n'), 3] 9.745611806324142
[('tenencia', 'n'), 3] 9.745611806324142
[('fallo', 'n'), 3] 9.745611806324142
[('secreto', 'n'), 3] 9.745611806324142
[('china', 'n'), 3] 9.745611806324142
[('cristo', 'n'), 3] 9.745611806324142
[('láctea', 'n'), 3] 9.745611806324142
[('maíz', 'n'), 3] 9.745611806324142
[('utilización', 'n'), 3] 9.745611806324142
[('sitio', 'n'), 3] 9.745611806324142
[('jornada', 'n'), 3] 9.745611806324142
[('escasez', 'n'), 3] 9.745611806324142
[('reconocimiento', 'n'), 3] 9.745611806324142
[('experiencia', 'n'), 3] 9.745611806324142
[('cardenista', 'n'), 3] 9.745611806324142
[('representante', 'n'), 3] 9.745611806324142
[('juez', 'n'), 3] 9.745611806324142
[('víctor', 'n'), 3] 9.745611806324142
[('equivalente', 'n'), 3] 9.745611806324142
[('norteamérica', 'n'), 3] 9.745611806324142
[('peligro', 'n'), 3] 9.745611806324142
[('rodolfo', 'n'), 3] 9.745611806324142
[('alerta', 'n'), 3] 9.745611806324142
[('intento', 'n'), 3] 9.745611806324142
[('límite', 'n'), 3] 9.745611806324142
[('vocero', 'n'), 3] 9.745611806324142
[('dolor', 'n'), 3] 9.745611806324142
[('chirinos', 'n'), 3] 9.745611806324142
[('anuncio', 'n'), 3] 9.745611806324142
[('central', 'n'), 3] 9.745611806324142
[('software', 'n'), 3] 9.745611806324142
[('oficio', 'n'), 3] 9.745611806324142
[('suerte', 'n'), 3] 9.745611806324142
[('arquitecto', 'n'), 3] 9.745611806324142
[('presario', 'n'), 3] 9.745611806324142
[('perredista', 'n'), 3] 9.745611806324142
[('orientación', 'n'), 3] 9.745611806324142
[('oxígeno', 'n'), 3] 9.745611806324142
[('scalfaro', 'n'), 3] 9.745611806324142
[('expansión', 'n'), 3] 9.745611806324142
[('camioneta', 'n'), 3] 9.745611806324142
[('muñoz', 'n'), 3] 9.745611806324142
[('primaria', 'n'), 3] 9.745611806324142
[('vacación', 'n'), 3] 9.745611806324142
[('acto', 'n'), 3] 9.745611806324142
[('hidalgo', 'n'), 3] 9.745611806324142
[('leyes', 'n'), 3] 9.745611806324142
[('desesperación', 'n'), 3] 9.745611806324142
[('realizando', 'n'), 3] 9.745611806324142
[('operativo', 'n'), 3] 9.745611806324142
[('usuario', 'n'), 3] 9.745611806324142
[('comercio', 'n'), 3] 9.745611806324142
[('actuación', 'n'), 3] 9.745611806324142
[('noticioso', 'n'), 3] 9.745611806324142
[('rosa', 'n'), 3] 9.745611806324142
[('convocatoria', 'n'), 3] 9.745611806324142
[('verificación', 'n'), 3] 9.745611806324142
[('fax', 'n'), 3] 9.745611806324142
[('contratiempo', 'n'), 3] 9.745611806324142
[('referente', 'n'), 3] 9.745611806324142
[('noche', 'n'), 3] 9.745611806324142
[('velázquez', 'n'), 3] 9.745611806324142
[('hambrientos', 'n'), 3] 9.745611806324142
[('devaluación', 'n'), 3] 9.745611806324142
[('avión', 'n'), 3] 9.745611806324142
[('félix', 'n'), 3] 9.745611806324142
[('cotización', 'n'), 3] 9.745611806324142
[('obrero', 'n'), 3] 9.745611806324142
[('urgencia', 'n'), 3] 9.745611806324142
[('rica', 'n'), 3] 9.745611806324142
[('operador', 'n'), 3] 9.745611806324142
[('éxodo', 'n'), 3] 9.745611806324142
[('funcionamiento', 'n'), 3] 9.745611806324142
[('fuente', 'n'), 3] 9.745611806324142
[('repunte', 'n'), 3] 9.745611806324142
[('prepotencia', 'n'), 3] 9.745611806324142
[('curso', 'n'), 3] 9.745611806324142
[('colectivo', 'n'), 3] 9.745611806324142
[('terrorismo', 'n'), 3] 9.745611806324142
[('compuertas', 'n'), 3] 9.745611806324142
[('muchísimas', 'n'), 3] 9.745611806324142
[('socio', 'n'), 3] 9.745611806324142
[('evidencia', 'n'), 3] 9.745611806324142
[('pedazo', 'n'), 3] 9.745611806324142
[('ronda', 'n'), 3] 9.745611806324142
[('paz', 'n'), 3] 9.745611806324142
[('federico', 'n'), 3] 9.745611806324142
[('rivera', 'n'), 3] 9.745611806324142
[('acreedor', 'n'), 3] 9.745611806324142
[('vicepresidente', 'n'), 3] 9.745611806324142
[('subsidiados', 'n'), 3] 9.745611806324142
[('secretas', 'n'), 3] 9.745611806324142
[('edad', 'n'), 3] 9.745611806324142
[('cancún', 'n'), 3] 9.745611806324142
[('sufrimiento', 'n'), 3] 9.745611806324142
[('objeto', 'n'), 3] 9.745611806324142
[('rango', 'n'), 3] 9.745611806324142
[('onu', 'n'), 3] 9.745611806324142
[('delegación', 'n'), 3] 9.745611806324142
[('influencia', 'n'), 3] 9.745611806324142
[('sierra', 'n'), 3] 9.745611806324142
[('solución', 'n'), 3] 9.745611806324142
[('clima', 'n'), 3] 9.745611806324142
[('desgracia', 'n'), 3] 9.745611806324142
[('esperanza', 'n'), 3] 9.745611806324142
[('alterno', 'n'), 3] 9.745611806324142
[('avenida', 'n'), 3] 9.745611806324142
[('arco', 'n'), 3] 9.745611806324142
[('retraso', 'n'), 3] 9.745611806324142
[('guillermo', 'n'), 3] 9.745611806324142
[('catástrofe', 'n'), 3] 9.745611806324142
[('regla', 'n'), 3] 9.745611806324142
[('programación', 'n'), 3] 9.745611806324142
[('oropeza', 'n'), 3] 9.745611806324142
[('ciclo', 'n'), 3] 9.745611806324142
[('videoconferencia', 'n'), 3] 9.745611806324142
[('vergüenza', 'n'), 3] 9.745611806324142
[('interactivo', 'n'), 3] 9.745611806324142
[('habitante', 'n'), 3] 9.745611806324142
[('federalismo', 'n'), 3] 9.745611806324142
[('técnico', 'n'), 3] 9.745611806324142
[('contribuyente', 'n'), 3] 9.745611806324142
[('asesino', 'n'), 3] 9.745611806324142
[('estructura', 'n'), 3] 9.745611806324142
[('moda', 'n'), 3] 9.745611806324142
[('estima', 'n'), 3] 9.745611806324142
[('lechero', 'n'), 3] 9.745611806324142
[('arquitectura', 'n'), 3] 9.745611806324142
[('neumonía', 'n'), 3] 9.745611806324142
[('poza', 'n'), 3] 9.745611806324142
[('democrática', 'n'), 3] 9.745611806324142
[('cheque', 'n'), 3] 9.745611806324142
[('alfredo', 'n'), 3] 9.745611806324142
[('larios', 'n'), 3] 9.745611806324142
[('fantasma', 'n'), 3] 9.745611806324142
[('funcionando', 'n'), 3] 9.745611806324142
[('homicidio', 'n'), 3] 9.745611806324142
[('desempleados', 'n'), 3] 9.745611806324142
[('alto', 'n'), 3] 9.745611806324142
[('sergio', 'n'), 3] 9.745611806324142
[('territorio', 'n'), 3] 9.745611806324142
[('bla', 'n'), 3] 9.745611806324142
[('trampa', 'n'), 3] 9.745611806324142
[('frecuencia', 'n'), 3] 9.745611806324142
[('coordinador', 'n'), 3] 9.745611806324142
[('filosofía', 'n'), 3] 9.745611806324142
[('veredicto', 'n'), 3] 9.745611806324142
[('tijuana', 'n'), 3] 9.745611806324142
[('final', 'n'), 3] 9.745611806324142
[('hospital', 'n'), 3] 9.745611806324142
[('sueldo', 'n'), 3] 9.745611806324142
[('método', 'n'), 3] 9.745611806324142
[('amparo', 'n'), 3] 9.745611806324142
[('borde', 'n'), 3] 9.745611806324142
[('patria', 'n'), 3] 9.745611806324142
[('procesión', 'n'), 3] 9.745611806324142
[('ofrecimiento', 'n'), 3] 9.745611806324142
[('continuación', 'n'), 3] 9.745611806324142
[('lujo', 'n'), 3] 9.745611806324142
[('consideración', 'n'), 3] 9.745611806324142
[('innecesarios', 'n'), 3] 9.745611806324142
[('ojo', 'n'), 3] 9.745611806324142
[('corzo', 'n'), 3] 9.745611806324142
[('directivas', 'n'), 3] 9.745611806324142
[('administradora', 'n'), 3] 9.745611806324142
[('kennedy', 'n'), 3] 9.745611806324142
[('expectativa', 'n'), 3] 9.745611806324142
[('versión', 'n'), 3] 9.745611806324142
[('complejo', 'n'), 3] 9.745611806324142
[('argumento', 'n'), 3] 9.745611806324142
[('europa', 'n'), 3] 9.745611806324142
[('vicio', 'n'), 3] 9.745611806324142
[('abuso', 'n'), 3] 9.745611806324142
[('hipótesis', 'n'), 3] 9.745611806324142
[('parmistas', 'n'), 3] 9.745611806324142
[('presentación', 'n'), 3] 9.745611806324142
[('ejercicio', 'n'), 3] 9.745611806324142
[('vigencia', 'n'), 3] 9.745611806324142
[('hoja', 'n'), 3] 9.745611806324142
[('sindicalismo', 'n'), 3] 9.745611806324142
[('acapulco', 'n'), 3] 9.745611806324142
[('iglesia', 'n'), 3] 9.745611806324142
[('chico', 'n'), 3] 9.745611806324142
[('archivo', 'n'), 3] 9.745611806324142
[('ocasión', 'n'), 3] 9.745611806324142
[('miseria', 'n'), 3] 9.745611806324142
[('dicho', 'n'), 3] 9.745611806324142
[('delia', 'n'), 3] 9.745611806324142
[('norma', 'n'), 3] 9.745611806324142
[('rubin', 'n'), 3] 9.745611806324142
[('caribe', 'n'), 3] 9.745611806324142
[('huelga', 'n'), 3] 9.745611806324142
[('riqueza', 'n'), 3] 9.745611806324142
[('previsión', 'n'), 3] 9.745611806324142
[('drama', 'n'), 3] 9.745611806324142
[('expresión', 'n'), 3] 9.745611806324142
[('bancaria', 'n'), 3] 9.745611806324142
[('hermana', 'n'), 2] 8.168663580198341
[('llave', 'n'), 2] 8.168663580198341
[('calderón', 'n'), 2] 8.168663580198341
[('estancamiento', 'n'), 2] 8.168663580198341
[('monarquía', 'n'), 2] 8.168663580198341
[('terminados', 'n'), 2] 8.168663580198341
[('captación', 'n'), 2] 8.168663580198341
[('simpatía', 'n'), 2] 8.168663580198341
[('turista', 'n'), 2] 8.168663580198341
[('presidenta', 'n'), 2] 8.168663580198341
[('tripulación', 'n'), 2] 8.168663580198341
[('derecha', 'n'), 2] 8.168663580198341
[('sospecha', 'n'), 2] 8.168663580198341
[('mejoría', 'n'), 2] 8.168663580198341
[('nómina', 'n'), 2] 8.168663580198341
[('formatos', 'n'), 2] 8.168663580198341
[('azcapotzalco', 'n'), 2] 8.168663580198341
[('convergencia', 'n'), 2] 8.168663580198341
[('telegrama', 'n'), 2] 8.168663580198341
[('probabilidad', 'n'), 2] 8.168663580198341
[('explicación', 'n'), 2] 8.168663580198341
[('ultima', 'n'), 2] 8.168663580198341
[('alcance', 'n'), 2] 8.168663580198341
[('hueco', 'n'), 2] 8.168663580198341
[('privatización', 'n'), 2] 8.168663580198341
[('chiapaneca', 'n'), 2] 8.168663580198341
[('predicción', 'n'), 2] 8.168663580198341
[('préstamo', 'n'), 2] 8.168663580198341
[('ingeniería', 'n'), 2] 8.168663580198341
[('abasto', 'n'), 2] 8.168663580198341
[('cinescopios', 'n'), 2] 8.168663580198341
[('provocaría', 'n'), 2] 8.168663580198341
[('automático', 'n'), 2] 8.168663580198341
[('monitoreo', 'n'), 2] 8.168663580198341
[('restrictiva', 'n'), 2] 8.168663580198341
[('distintivo', 'n'), 2] 8.168663580198341
[('instante', 'n'), 2] 8.168663580198341
[('almoloya', 'n'), 2] 8.168663580198341
[('monopolio', 'n'), 2] 8.168663580198341
[('callista', 'n'), 2] 8.168663580198341
[('mercadeo', 'n'), 2] 8.168663580198341
[('apegadas', 'n'), 2] 8.168663580198341
[('motopatrullas', 'n'), 2] 8.168663580198341
[('vestido', 'n'), 2] 8.168663580198341
[('deseamos', 'n'), 2] 8.168663580198341
[('tapachula', 'n'), 2] 8.168663580198341
[('tránsito', 'n'), 2] 8.168663580198341
[('dimensión', 'n'), 2] 8.168663580198341
[('dama', 'n'), 2] 8.168663580198341
[('liquidez', 'n'), 2] 8.168663580198341
[('espalda', 'n'), 2] 8.168663580198341
[('deterioro', 'n'), 2] 8.168663580198341
[('plano', 'n'), 2] 8.168663580198341
[('reyes', 'n'), 2] 8.168663580198341
[('fortuna', 'n'), 2] 8.168663580198341
[('pluralidad', 'n'), 2] 8.168663580198341
[('lácteas', 'n'), 2] 8.168663580198341
[('linchamiento', 'n'), 2] 8.168663580198341
[('pandilla', 'n'), 2] 8.168663580198341
[('cláusula', 'n'), 2] 8.168663580198341
[('encuentro', 'n'), 2] 8.168663580198341
[('jaime', 'n'), 2] 8.168663580198341
[('enemigo', 'n'), 2] 8.168663580198341
[('derivado', 'n'), 2] 8.168663580198341
[('obstáculo', 'n'), 2] 8.168663580198341
[('convencidos', 'n'), 2] 8.168663580198341
[('objetivas', 'n'), 2] 8.168663580198341
[('integración', 'n'), 2] 8.168663580198341
[('tribuna', 'n'), 2] 8.168663580198341
[('plataforma', 'n'), 2] 8.168663580198341
[('apapacho', 'n'), 2] 8.168663580198341
[('titular', 'n'), 2] 8.168663580198341
[('intensifica', 'n'), 2] 8.168663580198341
[('intermediario', 'n'), 2] 8.168663580198341
[('automóvil', 'n'), 2] 8.168663580198341
[('feria', 'n'), 2] 8.168663580198341
[('revolución', 'n'), 2] 8.168663580198341
[('magdalena', 'n'), 2] 8.168663580198341
[('cultivo', 'n'), 2] 8.168663580198341
[('observado', 'n'), 2] 8.168663580198341
[('precisión', 'n'), 2] 8.168663580198341
[('pragma', 'n'), 2] 8.168663580198341
[('gasolina', 'n'), 2] 8.168663580198341
[('metafísicas', 'n'), 2] 8.168663580198341
[('especialidad', 'n'), 2] 8.168663580198341
[('rey', 'n'), 2] 8.168663580198341
[('adeudos', 'n'), 2] 8.168663580198341
[('injusticia', 'n'), 2] 8.168663580198341
[('respiro', 'n'), 2] 8.168663580198341
[('inmigrantes', 'n'), 2] 8.168663580198341
[('virginia', 'n'), 2] 8.168663580198341
[('portavoz', 'n'), 2] 8.168663580198341
[('sustitución', 'n'), 2] 8.168663580198341
[('marcos', 'n'), 2] 8.168663580198341
[('beneficio', 'n'), 2] 8.168663580198341
[('supremo', 'n'), 2] 8.168663580198341
[('boca', 'n'), 2] 8.168663580198341
[('puerto', 'n'), 2] 8.168663580198341
[('postura', 'n'), 2] 8.168663580198341
[('auspiciado', 'n'), 2] 8.168663580198341
[('responsable', 'n'), 2] 8.168663580198341
[('doctora', 'n'), 2] 8.168663580198341
[('acaso', 'n'), 2] 8.168663580198341
[('roblero', 'n'), 2] 8.168663580198341
[('españa', 'n'), 2] 8.168663580198341
[('trato', 'n'), 2] 8.168663580198341
[('signo', 'n'), 2] 8.168663580198341
[('licenciado', 'n'), 2] 8.168663580198341
[('totalidad', 'n'), 2] 8.168663580198341
[('inseguridad', 'n'), 2] 8.168663580198341
[('cama', 'n'), 2] 8.168663580198341
[('emilio', 'n'), 2] 8.168663580198341
[('virtud', 'n'), 2] 8.168663580198341
[('condena', 'n'), 2] 8.168663580198341
[('parámetro', 'n'), 2] 8.168663580198341
[('réditos', 'n'), 2] 8.168663580198341
[('sobrevivencia', 'n'), 2] 8.168663580198341
[('movilización', 'n'), 2] 8.168663580198341
[('prado', 'n'), 2] 8.168663580198341
[('ilusión', 'n'), 2] 8.168663580198341
[('tesoro', 'n'), 2] 8.168663580198341
[('zapato', 'n'), 2] 8.168663580198341
[('macroeconómico', 'n'), 2] 8.168663580198341
[('hormiga', 'n'), 2] 8.168663580198341
[('coreano', 'n'), 2] 8.168663580198341
[('ayala', 'n'), 2] 8.168663580198341
[('herido', 'n'), 2] 8.168663580198341
[('retroceso', 'n'), 2] 8.168663580198341
[('fisco', 'n'), 2] 8.168663580198341
[('invadidos', 'n'), 2] 8.168663580198341
[('grito', 'n'), 2] 8.168663580198341
[('ser', 'n'), 2] 8.168663580198341
[('alemania', 'n'), 2] 8.168663580198341
[('sacrificio', 'n'), 2] 8.168663580198341
[('antorcha', 'n'), 2] 8.168663580198341
[('revela', 'n'), 2] 8.168663580198341
[('ideal', 'n'), 2] 8.168663580198341
[('productividad', 'n'), 2] 8.168663580198341
[('afortunados', 'n'), 2] 8.168663580198341
[('expediente', 'n'), 2] 8.168663580198341
[('sindicalizados', 'n'), 2] 8.168663580198341
[('variedad', 'n'), 2] 8.168663580198341
[('reactivación', 'n'), 2] 8.168663580198341
[('órbita', 'n'), 2] 8.168663580198341
[('pidiendo', 'n'), 2] 8.168663580198341
[('económicos', 'n'), 2] 8.168663580198341
[('cadena', 'n'), 2] 8.168663580198341
[('asistente', 'n'), 2] 8.168663580198341
[('acierto', 'n'), 2] 8.168663580198341
[('repudio', 'n'), 2] 8.168663580198341
[('derrota', 'n'), 2] 8.168663580198341
[('necesita', 'n'), 2] 8.168663580198341
[('visita', 'n'), 2] 8.168663580198341
[('castillo', 'n'), 2] 8.168663580198341
[('cansancio', 'n'), 2] 8.168663580198341
[('vino', 'n'), 2] 8.168663580198341
[('instrumento', 'n'), 2] 8.168663580198341
[('camacho', 'n'), 2] 8.168663580198341
[('michel', 'n'), 2] 8.168663580198341
[('insulto', 'n'), 2] 8.168663580198341
[('cuadro', 'n'), 2] 8.168663580198341
[('órgano', 'n'), 2] 8.168663580198341
[('rebote', 'n'), 2] 8.168663580198341
[('empero', 'n'), 2] 8.168663580198341
[('soto', 'n'), 2] 8.168663580198341
[('rodrigo', 'n'), 2] 8.168663580198341
[('arbitraria', 'n'), 2] 8.168663580198341
[('zavala', 'n'), 2] 8.168663580198341
[('martha', 'n'), 2] 8.168663580198341
[('vivienda', 'n'), 2] 8.168663580198341
[('candidatura', 'n'), 2] 8.168663580198341
[('acoplamiento', 'n'), 2] 8.168663580198341
[('ordalías', 'n'), 2] 8.168663580198341
[('considero', 'n'), 2] 8.168663580198341
[('costilla', 'n'), 2] 8.168663580198341
[('pgragma', 'n'), 2] 8.168663580198341
[('porfirio', 'n'), 2] 8.168663580198341
[('aforo', 'n'), 2] 8.168663580198341
[('molina', 'n'), 2] 8.168663580198341
[('vuelta', 'n'), 2] 8.168663580198341
[('militantes', 'n'), 2] 8.168663580198341
[('orbe', 'n'), 2] 8.168663580198341
[('farmacia', 'n'), 2] 8.168663580198341
[('insuficiencia', 'n'), 2] 8.168663580198341
[('barrio', 'n'), 2] 8.168663580198341
[('parecería', 'n'), 2] 8.168663580198341
[('retrasa', 'n'), 2] 8.168663580198341
[('vendidos', 'n'), 2] 8.168663580198341
[('recomendación', 'n'), 2] 8.168663580198341
[('peraza', 'n'), 2] 8.168663580198341
[('edificio', 'n'), 2] 8.168663580198341
[('étnicos', 'n'), 2] 8.168663580198341
[('gira', 'n'), 2] 8.168663580198341
[('legalidad', 'n'), 2] 8.168663580198341
[('visión', 'n'), 2] 8.168663580198341
[('ritmo', 'n'), 2] 8.168663580198341
[('inmueble', 'n'), 2] 8.168663580198341
[('maquinita', 'n'), 2] 8.168663580198341
[('obrera', 'n'), 2] 8.168663580198341
[('prestación', 'n'), 2] 8.168663580198341
[('alcohólica', 'n'), 2] 8.168663580198341
[('gómez', 'n'), 2] 8.168663580198341
[('modo', 'n'), 2] 8.168663580198341
[('estacionamiento', 'n'), 2] 8.168663580198341
[('proporcionados', 'n'), 2] 8.168663580198341
[('paradigma', 'n'), 2] 8.168663580198341
[('priísta', 'n'), 2] 8.168663580198341
[('tila', 'n'), 2] 8.168663580198341
[('cosmonauta', 'n'), 2] 8.168663580198341
[('benito', 'n'), 2] 8.168663580198341
[('desabasto', 'n'), 2] 8.168663580198341
[('terreno', 'n'), 2] 8.168663580198341
[('gerardo', 'n'), 2] 8.168663580198341
[('albino', 'n'), 2] 8.168663580198341
[('elaborada', 'n'), 2] 8.168663580198341
[('tope', 'n'), 2] 8.168663580198341
[('generados', 'n'), 2] 8.168663580198341
[('volatilidad', 'n'), 2] 8.168663580198341
[('gutiérrez', 'n'), 2] 8.168663580198341
[('wilson', 'n'), 2] 8.168663580198341
[('ciencia', 'n'), 2] 8.168663580198341
[('caldaria', 'n'), 2] 8.168663580198341
[('naufragio', 'n'), 2] 8.168663580198341
[('salinas', 'n'), 2] 8.168663580198341
[('guatemala', 'n'), 2] 8.168663580198341
[('liévano', 'n'), 2] 8.168663580198341
[('estimado', 'n'), 2] 8.168663580198341
[('experto', 'n'), 2] 8.168663580198341
[('espectador', 'n'), 2] 8.168663580198341
[('alejémonos', 'n'), 2] 8.168663580198341
[('conjuntado', 'n'), 2] 8.168663580198341
[('cánovas', 'n'), 2] 8.168663580198341
[('romo', 'n'), 2] 8.168663580198341
[('negativa', 'n'), 2] 8.168663580198341
[('toro', 'n'), 2] 8.168663580198341
[('imperio', 'n'), 2] 8.168663580198341
[('agregado', 'n'), 2] 8.168663580198341
[('diconsa', 'n'), 2] 8.168663580198341
[('racha', 'n'), 2] 8.168663580198341
[('quintero', 'n'), 2] 8.168663580198341
[('rezago', 'n'), 2] 8.168663580198341
[('sección', 'n'), 2] 8.168663580198341
[('capitalinas', 'n'), 2] 8.168663580198341
[('alimentación', 'n'), 2] 8.168663580198341
[('villegas', 'n'), 2] 8.168663580198341
[('citadino', 'n'), 2] 8.168663580198341
[('semestre', 'n'), 2] 8.168663580198341
[('defensa', 'n'), 2] 8.168663580198341
[('asueto', 'n'), 2] 8.168663580198341
[('técnica', 'n'), 2] 8.168663580198341
[('muerto', 'n'), 2] 8.168663580198341
[('pública', 'n'), 2] 8.168663580198341
[('acusación', 'n'), 2] 8.168663580198341
[('federación', 'n'), 2] 8.168663580198341
[('altura', 'n'), 2] 8.168663580198341
